"","open","high","low","close"
"2005-04-25",1166.34,1166.34,1146.41,1157.97
"2005-04-29",1168.33,1170.2,1155.99,1159.15
"2005-05-09",1160.62,1165.39,1130.41,1130.84
"2005-05-16",1105.4,1105.4,1082.14,1095.47
"2005-05-23",1095.31,1095.31,1069.44,1070.84
"2005-05-30",1049.72,1063.95,1043.28,1060.16
"2005-06-06",1010.38,1034.85,998.23,1034.38
"2005-06-13",1105.96,1112.1,1085.87,1106.29
"2005-06-20",1087.85,1115.86,1073.41,1115.62
"2005-06-27",1108.47,1129.96,1108.47,1124.64
"2005-07-04",1050.24,1050.24,1030.18,1047.28
"2005-07-11",1026.79,1043.21,1009.04,1011.5
"2005-07-18",1023.38,1023.38,1008.52,1012.1
"2005-07-25",1045.27,1048.97,1040.59,1045.4
"2005-08-01",1082.8,1094.15,1081.12,1088.95
"2005-08-08",1131.8,1146.73,1131.8,1138.88
"2005-08-15",1167.03,1187.8,1163.85,1187.01
"2005-08-22",1148.97,1162.04,1142.68,1158.6
"2005-08-29",1172,1172.01,1147.93,1154.43
"2005-09-05",1189.06,1196.87,1184.01,1196.22
"2005-09-12",1189.75,1191.93,1181.43,1188.21
"2005-09-19",1213.49,1220.97,1210.19,1220.63
"2005-09-26",1150.93,1155.6,1147.27,1155.04
"2005-09-30",1156.77,1158.7,1150.63,1155.61
"2005-10-10",1153.67,1153.67,1137.29,1138.95
"2005-10-17",1138.38,1138.38,1121.97,1131.38
"2005-10-24",1141.33,1143.46,1133.92,1141.17
"2005-10-31",1079.04,1096.15,1078.29,1092.82
"2005-11-07",1099.53,1100.95,1089.83,1100.65
"2005-11-14",1089.56,1089.71,1083.02,1088.65
"2005-11-21",1117.78,1122.88,1114.24,1119.94
"2005-11-28",1113.83,1119.35,1106.94,1110.82
"2005-12-05",1093.1,1093.1,1077.41,1079.2
"2005-12-12",1115.75,1118.53,1109.08,1116.37
"2005-12-19",1127.84,1134.5,1123.5,1131.75
"2005-12-26",1145.77,1159.78,1145.34,1156.82
"2005-12-30",1171.57,1173.06,1158.97,1161.06
"2006-01-09",1210.32,1217.31,1205.25,1215.67
"2006-01-16",1221.11,1221.39,1202.59,1202.87
"2006-01-23",1254.78,1257.35,1244.27,1255.77
"2006-01-25",1251.27,1260.17,1245.92,1258.05
"2006-02-06",1263,1287.67,1263,1287.63
"2006-02-13",1283.78,1284.95,1267.56,1279.64
"2006-02-20",1268.11,1279.42,1265.38,1267.54
"2006-02-27",1297.69,1304.61,1293.47,1297.19
"2006-03-06",1292.75,1296.85,1286.64,1288.96
"2006-03-13",1245.3,1260.07,1245.3,1259.67
"2006-03-20",1269.58,1288.97,1264.41,1288.42
"2006-03-27",1296.07,1296.59,1283.68,1295.92
"2006-04-03",1298.68,1319.49,1298.68,1319.47
"2006-04-10",1344.24,1359.41,1339.52,1359.08
"2006-04-17",1360.64,1383.65,1353.4,1378.61
