"","open","high","low","close"
"1994-06-20",523.37,531.11,500.46,502.43
"1994-06-27",483.45,483.9,471.03,472.1
"1994-07-04",446.23,446.86,438.12,438.58
"1994-07-11",436.54,436.54,427.08,428.15
"1994-07-18",405.61,406.64,397.47,398.96
"1994-07-25",357.4,375.39,354.5,375.39
"1994-08-01",394.87,448.91,377.97,445.64
"1994-08-08",720.48,754.67,671.67,711.8
"1994-08-15",671.1,691.22,654.22,665.88
"1994-08-22",680.07,697.55,668.72,681.8
"1994-08-29",716.87,717.95,706.52,710.68
"1994-09-05",871.16,940.76,868.15,940.61
"1994-09-12",996.68,1023.3,981.81,1019.97
"1994-09-19",944.25,970.06,925.83,927.62
"1994-09-26",856.17,884.27,844.32,880.6
"1994-09-30",811.83,835.5,789.64,791.15
"1994-10-10",678.02,727.47,665.74,698.93
"1994-10-17",617.9,633.16,615.5,616.34
"1994-10-24",741.05,785.95,734.93,785.85
"1994-10-31",648.24,665.1,642.86,654.98
"1994-11-07",649.14,678.45,648.68,674.67
"1994-11-14",731.63,739.56,725.53,733.39
"1994-11-21",695.75,703.59,693.94,699.1
"1994-11-28",683.83,683.94,677.96,681.49
"1994-12-05",674.54,675.42,662.72,663.13
"1994-12-12",636.35,636.35,620.47,620.47
"1994-12-19",684.62,685.47,653.31,653.37
"1994-12-26",684.81,689.13,674.9,675.88
"1994-12-30",648.04,651.35,643.06,647.87
"1995-01-09",637.52,637.55,625.04,625.97
"1995-01-16",591.06,591.32,584.88,588.81
"1995-01-23",564.86,565.04,553.11,553.44
"1995-01-27",552.95,564.51,552.93,562.59
"1995-02-06",559.78,559.84,532.91,533.72
"1995-02-13",537.95,550.26,537.05,548.84
"1995-02-20",534.57,540.86,534.51,534.96
"1995-02-27",584.02,591.43,559.04,561.27
"1995-03-06",585.24,616.76,582.55,616.3
"1995-03-13",596.64,597.18,583.38,586.23
"1995-03-20",597.84,604.96,585.15,585.45
"1995-03-27",618.47,631.7,618.47,629.36
"1995-04-03",651.04,660.61,647.43,656.88
"1995-04-10",678.74,681.15,665.11,667.39
"1995-04-17",640.17,642.82,628.44,631.26
"1995-04-24",627.39,630.26,618.13,619.73
"1995-04-28",577.43,582.02,572.32,579.93
"1995-05-08",573.12,575.1,568.7,571.51
"1995-05-15",583.19,583.4,578.6,582.04
"1995-05-22",919.75,926.41,870.79,897.42
"1995-05-29",719.64,724.01,698.77,710.59
"1995-06-05",718.14,718.41,691.01,691.64
"1995-06-12",696.65,702.17,690.4,698.72
"1995-06-19",637.58,641.69,634.81,638.96
"1995-06-26",650.91,654.78,647.81,653.4
"1995-07-03",623.14,623.19,612.92,613.18
"1995-07-10",669.06,669.06,660.05,666.24
"1995-07-17",651.95,700.77,651.67,695.45
"1995-07-24",699.84,716.22,699.84,709.92
"1995-07-31",699.61,702.44,692.48,695.55
"1995-08-07",708.27,718.54,707.37,718.08
"1995-08-14",759.12,788.16,752.98,776.13
"1995-08-21",752.06,755.44,735.12,739.06
"1995-08-28",724.1,728.68,722.53,725.62
"1995-09-04",731.42,737.94,728.99,737.89
"1995-09-11",756.68,775.45,755.62,775.45
"1995-09-18",757.99,758.18,751.31,757.4
"1995-09-25",730.01,730.01,717.43,723.35
"1995-09-29",711.91,722.43,711.91,722.43
"1995-10-09",717.99,717.99,704.41,706.29
"1995-10-16",702.13,706.4,696.79,701.34
"1995-10-23",729.76,729.97,718.44,723.09
"1995-10-30",722.86,724.57,719.24,722.78
"1995-11-06",729.04,736.15,728.99,736.15
"1995-11-13",705.89,705.92,686.43,688.7
"1995-11-20",671.8,677.11,668.63,674.74
"1995-11-27",658.08,658.32,644.56,645.03
"1995-12-04",632.72,635.73,632.24,634.92
"1995-12-11",636.82,639.29,618.08,619.26
"1995-12-18",600.65,600.65,591.51,592.14
"1995-12-25",590.76,590.76,579.26,580.03
"1995-12-29",555.74,561.61,552.84,555.29
"1996-01-08",533.33,540.04,527.91,539.17
"1996-01-15",545.05,551.91,543.83,551.04
"1996-01-22",520.95,521,514.16,516.46
"1996-01-29",526.2,530.17,525.49,529.14
"1996-02-05",537.23,537.27,522.48,522.85
"1996-02-12",523.57,524.06,523.57,523.85
"1996-02-16",537.13,553.83,537.13,552.94
"1996-03-04",583.38,601.98,572.91,601.98
"1996-03-11",574.19,575.47,565.53,568.12
"1996-03-18",561.81,568.02,561.09,567.87
"1996-03-25",570.77,572.75,569.37,570.24
"1996-04-01",566.21,573.95,561.95,566.19
"1996-04-08",583.63,587.6,578.32,581.38
"1996-04-15",585.95,587.92,583.32,584.67
"1996-04-22",624.93,627.65,613.94,613.97
"1996-04-29",722.57,739.29,710,738.62
"1996-05-06",648.23,672.85,648.23,671.28
"1996-05-13",665.49,672.76,663.68,666.1
"1996-05-20",719.19,725.16,699.37,703.08
"1996-05-27",639.51,642.11,635.02,637.96
"1996-06-03",643.96,652.52,636.46,641.09
"1996-06-10",740.11,764.63,736.99,764.39
"1996-06-17",779.71,780.35,750.04,752
"1996-06-24",797.87,799.03,789.09,793.34
"1996-07-01",800.91,801.05,755.32,761.12
"1996-07-08",794.13,807.89,790.09,807.34
"1996-07-15",794.88,796.25,780.15,789.16
"1996-07-22",871.48,887.07,870.22,884.94
"1996-07-29",846.19,855.5,837.2,855.42
"1996-08-05",846.03,853.2,838.6,853.19
"1996-08-12",880.13,894.86,880.13,886.05
"1996-08-19",852.34,852.35,834.85,835.21
"1996-08-26",789.15,800.53,770.85,773.07
"1996-09-02",812.94,813.57,803.13,804.78
"1996-09-09",798.6,799.98,791.63,793.59
"1996-09-16",779.85,784.48,771.8,778.29
"1996-09-23",812.94,852.04,812.31,851.99
"1996-09-27",861.62,875.53,855.75,875.53
"1996-10-07",866.07,869.87,852.83,864.66
"1996-10-14",919.7,943.55,919.7,940.79
"1996-10-21",943.03,964.44,943.03,964.39
"1996-10-28",1001.23,1026.84,1000.07,1022.86
"1996-11-04",931,947.88,929.73,945.12
"1996-11-11",923.37,933.97,922.2,933.97
"1996-11-18",952.73,1004.95,948.82,1004.69
"1996-11-25",948.59,976.55,938.81,976.55
"1996-12-02",1056.68,1134.9,1056.68,1134.52
"1996-12-09",1227.48,1250.56,1227.48,1247.66
"1996-12-16",1005.01,1005.12,999.63,1000.02
"1996-12-23",900.32,911.59,890.84,902.01
"1996-12-30",929.72,938.55,923.95,934.21
"1997-01-06",890.98,892.02,875.89,876.5
"1997-01-13",923.55,931.44,922.74,929.52
"1997-01-20",922.47,933.36,922.06,933.28
"1997-01-27",957.25,959.87,952.4,959.06
"1997-01-31",960.26,967.9,960.08,964.74
"1997-02-17",969.53,985.21,959.75,982.4
"1997-02-24",1028.35,1032.7,1004.62,1009.56
"1997-03-03",1044.61,1063.05,1043.93,1063.05
"1997-03-10",1085.91,1100.51,1085.89,1099.68
"1997-03-17",1138.28,1159.54,1138.28,1158.48
"1997-03-24",1186.95,1196.64,1181.33,1191.73
"1997-03-31",1210.02,1234.96,1210,1234.62
"1997-04-07",1259.59,1276.57,1252.75,1276.41
"1997-04-14",1293.98,1325.67,1293.98,1316.92
"1997-04-21",1355.56,1365.22,1350.8,1362.08
"1997-04-28",1372.26,1381.56,1346.26,1352
"1997-05-05",1398.14,1448.99,1398.05,1448.93
"1997-05-12",1490.78,1510.18,1486.45,1500.4
"1997-05-19",1330.79,1350.58,1316.13,1344.61
"1997-05-26",1268.59,1275.3,1213.24,1251.55
"1997-06-02",1302.82,1336.42,1302.16,1336.28
"1997-06-09",1275.25,1282.75,1255.67,1274.92
"1997-06-16",1255.77,1269.63,1255.77,1261.47
"1997-06-23",1313.24,1322.98,1265.18,1283.5
"1997-06-27",1287.92,1291.98,1246.93,1250.27
"1997-07-07",1161.71,1163.45,1085.57,1096.82
"1997-07-14",1163.29,1185.78,1158.45,1185.72
"1997-07-21",1215.84,1218.48,1188.88,1193.53
"1997-07-28",1167.81,1167.88,1138.48,1141.78
"1997-08-04",1196.25,1201.92,1188.68,1200.33
"1997-08-11",1206.46,1206.76,1182.45,1184.08
"1997-08-18",1139.61,1139.61,1116.15,1134.63
"1997-08-25",1175.44,1184.33,1175.38,1184.1
"1997-09-01",1224.18,1230.07,1219.1,1229.87
"1997-09-08",1253.15,1257.55,1245.74,1255.23
"1997-09-15",1205.9,1211.68,1175.95,1179.29
"1997-09-22",1184.49,1185.1,1102.62,1103.97
"1997-09-29",1106.34,1106.34,1079.34,1084.07
"1997-10-06",1100.7,1105.41,1091.15,1098.9
"1997-10-13",1136.43,1138.4,1117.39,1119.82
"1997-10-20",1183.74,1191.04,1173.56,1187.37
"1997-10-27",1183.65,1235.94,1183.65,1235.83
"1997-11-03",1181.16,1185.07,1176.55,1180.85
"1997-11-10",1199.37,1202.58,1178.63,1185.78
"1997-11-17",1210.68,1213.23,1190.43,1191.33
"1997-11-24",1150.42,1150.56,1122.94,1124.94
"1997-12-01",1137.59,1139.29,1130.45,1133.09
"1997-12-08",1140.55,1143.08,1136.58,1139.36
"1997-12-15",1155.72,1168.06,1155.6,1168.03
"1997-12-22",1162.68,1169.03,1153.44,1169.01
"1997-12-29",1196.3,1198.97,1185.66,1186.61
"1998-01-05",1200.95,1220.5,1200.22,1220.47
"1998-01-12",1242.21,1246.65,1226.4,1226.97
"1998-01-19",1215.41,1216.99,1205.48,1213.13
"1998-01-23",1206.5,1224.12,1206.45,1222.91
"1998-02-09",1258,1262.62,1244.43,1248.04
"1998-02-16",1246.8,1247.97,1230.92,1236.24
"1998-02-23",1217.86,1217.86,1195.89,1208.6
"1998-03-02",1196.74,1205.75,1182.61,1188.31
"1998-03-09",1207.96,1208.62,1197.57,1200.83
"1998-03-16",1186.19,1188.62,1179.44,1188.48
"1998-03-23",1186.56,1186.86,1178.04,1179.87
"1998-03-30",1230.94,1249.44,1228.3,1249.44
"1998-04-06",1291.61,1306.38,1286.43,1306.38
"1998-04-13",1319.95,1326.3,1311.83,1318.75
"1998-04-20",1292.16,1302.98,1286.59,1296.01
"1998-04-27",1314.35,1318.8,1303.48,1310.38
"1998-05-04",1353.06,1355.52,1345.36,1352.93
"1998-05-11",1367.24,1368.03,1351.59,1354.61
"1998-05-18",1373.67,1376.38,1360.47,1368.18
"1998-05-25",1380.13,1389.66,1376.2,1389.37
"1998-06-01",1418.35,1420.55,1411.06,1415.58
"1998-06-08",1411.96,1415.18,1401.06,1403.73
"1998-06-15",1385.33,1386.99,1359.88,1365.34
"1998-06-22",1400.47,1401.51,1392.06,1399.36
"1998-06-29",1387.02,1387.19,1356.22,1361.43
"1998-07-06",1339.26,1339.68,1313.28,1315.28
"1998-07-13",1362.69,1363,1352.16,1358.81
"1998-07-20",1311.06,1311.15,1278.3,1287.07
"1998-07-27",1328.34,1328.73,1314.73,1321.9
"1998-08-03",1315.14,1315.47,1299.93,1302.1
"1998-08-10",1262.01,1262.03,1227.47,1234.58
"1998-08-17",1152.67,1152.67,1068.66,1070.41
"1998-08-24",1178.55,1190.88,1166.14,1178.55
"1998-08-31",1117.97,1150.23,1072.42,1150.22
"1998-09-07",1168.37,1178.38,1163.21,1178.38
"1998-09-14",1219.32,1239.77,1214.44,1239.61
"1998-09-21",1199.17,1222.38,1193.82,1222.38
"1998-09-28",1224.27,1239.8,1217.65,1230.21
"1998-10-05",1245.74,1246.6,1231.4,1234.78
"1998-10-12",1239.56,1247.24,1227.86,1247.15
"1998-10-19",1255.05,1256.76,1240.45,1246.24
"1998-10-26",1215.56,1215.56,1195.24,1208.27
"1998-11-02",1217.34,1223.53,1210.85,1223.48
"1998-11-09",1263.96,1283.12,1263.96,1283.12
"1998-11-16",1284.34,1293.76,1281.6,1293.74
"1998-11-23",1275.9,1278.09,1269.1,1273.79
"1998-11-30",1244.92,1247.42,1238.14,1247.42
"1998-12-07",1234.76,1237.69,1207.76,1209.54
"1998-12-14",1214.6,1214.67,1194.66,1196.3
"1998-12-21",1153.66,1163.24,1150.39,1154.43
"1998-12-28",1175.63,1179,1157.7,1159.94
"1999-01-04",1144.89,1144.89,1124.21,1125.82
"1999-01-11",1169.91,1174.43,1158.54,1172.81
"1999-01-18",1135.09,1153.42,1126.71,1153.12
"1999-01-25",1161.98,1162.44,1146.97,1148.12
"1999-02-01",1131.65,1131.66,1118.55,1120.53
"1999-02-08",1076.82,1082.46,1064.17,1065.82
"1999-02-09",1065.91,1090.17,1065.91,1090.09
"1999-03-01",1092.15,1098.36,1084.16,1097.98
"1999-03-08",1133.51,1142.15,1128.39,1142.11
"1999-03-15",1161.49,1169.7,1159.15,1164.64
"1999-03-22",1175.68,1179.65,1168.34,1172.74
"1999-03-29",1160.58,1169.5,1158.09,1169.49
"1999-04-05",1188.93,1194.51,1187.06,1194.47
"1999-04-12",1205.32,1205.68,1193.66,1195.34
"1999-04-19",1164.62,1166.04,1156.61,1159.47
"1999-04-26",1139.65,1140.17,1112,1112.79
"1999-04-30",1116.11,1122.22,1114.18,1120.93
"1999-05-10",1107.37,1107.37,1065.18,1071.93
"1999-05-17",1057.49,1072.17,1047.83,1065.56
"1999-05-24",1173.13,1215.22,1164.9,1213.65
"1999-05-31",1287.07,1303.48,1253.25,1279.33
"1999-06-07",1287.46,1326.61,1285.15,1326.52
"1999-06-14",1382.53,1427.77,1382.53,1427.71
"1999-06-21",1506.83,1546.61,1503.4,1546.41
"1999-06-28",1606.28,1693.16,1606.28,1693.16
"1999-07-05",1627.25,1630.38,1573.73,1581.82
"1999-07-12",1588.38,1589.9,1545.56,1559.73
"1999-07-19",1500.45,1509.99,1473.23,1479.08
"1999-07-26",1592.41,1607.07,1587.38,1602.03
"1999-08-02",1607.06,1622.38,1603.37,1616.28
"1999-08-09",1650.28,1651.64,1624.72,1628.84
"1999-08-16",1568.9,1570.21,1546.84,1560.07
"1999-08-23",1631.44,1645,1626.95,1645
"1999-08-30",1635.55,1637.31,1614.45,1619.04
"1999-09-06",1577.51,1577.56,1556.83,1560.68
"1999-09-13",1664.51,1671.64,1656.17,1670.14
"1999-09-20",1649.12,1651.54,1628.89,1633.84
"1999-09-27",1624.46,1629.19,1598.71,1602.16
"1999-09-30",1588.99,1595.01,1567.72,1570.7
"1999-10-11",1529.22,1538.34,1516.62,1522.48
"1999-10-18",1547.27,1549.37,1499.46,1501.67
"1999-10-25",1499.14,1499.39,1465.14,1468.27
"1999-11-01",1501.74,1506.99,1488.23,1493.1
"1999-11-08",1464.49,1477.14,1458.65,1471.38
"1999-11-15",1451.55,1454.09,1436.68,1451.54
"1999-11-22",1468.22,1468.94,1457.61,1464.59
"1999-11-29",1444.01,1444.59,1432.96,1435.47
"1999-12-06",1436.8,1437.18,1422.73,1427
"1999-12-13",1429.19,1430.41,1415.29,1417.11
"1999-12-17",1434.63,1438.23,1416.74,1419.55
"1999-12-27",1353.53,1359.08,1341.05,1345.35
"1999-12-30",1357.82,1366.68,1357.82,1366.58
"2000-01-10",1531.71,1546.72,1506.4,1545.11
"2000-01-17",1408.99,1433.38,1402.66,1433.33
"2000-01-24",1465.86,1477.41,1449.47,1477.34
"2000-01-28",1514.56,1536.35,1510.75,1535
"2000-02-14",1591.45,1674.13,1587.82,1673.94
"2000-02-21",1681.36,1697.01,1652.48,1677.14
"2000-02-28",1639.8,1704.88,1639.7,1704.86
"2000-03-06",1756.31,1762.83,1678.74,1681.09
"2000-03-13",1706.77,1729.01,1706.35,1728.88
"2000-03-20",1646.31,1699.28,1641.77,1699.25
"2000-03-27",1736.7,1776.02,1736.7,1775.91
"2000-04-03",1799.58,1816.86,1798.25,1801
"2000-04-10",1826.61,1831.85,1815.99,1826.06
"2000-04-17",1829.62,1829.93,1778.88,1795.06
"2000-04-24",1844.7,1848.97,1827.17,1837.4
"2000-04-28",1805.5,1836.33,1797.71,1836.32
"2000-05-08",1848.17,1852.9,1828.1,1836.64
"2000-05-15",1722.64,1726.72,1695.53,1704.59
"2000-05-22",1785.89,1830.93,1783.3,1824.74
"2000-05-29",1885.55,1900.67,1882.74,1898.75
"2000-06-05",1921.97,1930.34,1889.82,1899.09
"2000-06-12",1896.43,1912.59,1884.62,1912.56
"2000-06-19",1924.69,1926.98,1910.47,1915.21
"2000-06-26",1946.7,1953.34,1943.25,1948.64
"2000-07-03",1917.44,1917.45,1890.53,1895.64
"2000-07-10",1938.84,1948.06,1932.96,1948.02
"2000-07-17",1992.89,1997.94,1980.22,1982.48
"2000-07-24",1998.25,1999.9,1982.88,1989.24
"2000-07-31",2016.14,2023.57,2008.64,2023.54
"2000-08-07",2025.18,2039.42,2017.9,2039.42
"2000-08-14",2065.94,2076.33,2065.94,2076.3
"2000-08-21",2095.38,2108.88,2093.42,2108.69
"2000-08-28",2092.12,2100.7,2085.6,2100.58
"2000-09-04",1994.89,2010.6,1981.23,2010.6
"2000-09-11",1963.27,1972.08,1956.08,1972.04
"2000-09-18",1979.53,1981.13,1946.18,1946.75
"2000-09-25",1889.9,1896.72,1874.21,1875.91
"2000-09-29",1888.2,1910.49,1888.07,1910.16
"2000-10-09",1912.08,1915.5,1897.24,1915.35
"2000-10-16",1917.45,1917.56,1897.91,1902.81
"2000-10-23",1952.96,1960.86,1945.67,1958.94
"2000-10-30",1967.65,1974.24,1962.81,1973.58
"2000-11-06",1983.07,1992.88,1982.75,1991.17
"2000-11-13",2054.48,2071.69,2053.44,2070.79
"2000-11-20",2092.59,2101.4,2078.28,2101.39
"2000-11-27",2041.16,2062.81,2031.93,2049.67
"2000-12-04",2084.48,2092.32,2077.81,2092.14
"2000-12-11",2072.28,2072.48,2039,2046.08
"2000-12-18",2038.45,2044.56,2024.29,2044.55
"2000-12-25",2071.57,2075.21,2062.04,2068.17
"2000-12-29",2055.83,2073.88,2055.5,2073.48
"2001-01-08",2128.6,2131.98,2092.1,2102.06
"2001-01-15",2097.09,2097.09,2030.29,2032.44
"2001-01-19",2046.58,2067.88,2046.54,2065.61
"2001-02-05",2069.86,2072.55,2005.68,2008.03
"2001-02-12",1958.66,1961.81,1935.59,1961.22
"2001-02-19",1942.58,1969.35,1935.65,1967.55
"2001-02-26",1940.77,1953.77,1935.55,1953.34
"2001-03-05",1991.28,1993.81,1979.65,1984.2
"2001-03-12",2013.31,2015.6,2004.96,2012.55
"2001-03-19",2019.85,2036.63,2017.49,2036.62
"2001-03-26",2052.05,2089.99,2052.05,2089.88
"2001-04-02",2117.45,2126.97,2114.78,2125.08
"2001-04-09",2108.97,2117.41,2100.97,2117.37
"2001-04-16",2150.29,2168.08,2150.29,2168.06
"2001-04-23",2150.34,2157.51,2132.55,2150.43
"2001-04-30",2117.17,2122.5,2111.95,2119.18
"2001-05-14",2161.61,2178.7,2160.12,2178.47
"2001-05-21",2207.78,2213.75,2202.74,2213.59
"2001-05-28",2194.45,2194.83,2171.68,2179.7
"2001-06-04",2223.91,2229.05,2222.23,2226.78
"2001-06-11",2223.79,2226.61,2206.64,2214.62
"2001-06-18",2211.89,2214.1,2157.12,2167.65
"2001-06-25",2210.07,2230.22,2210.04,2230.2
"2001-07-02",2220.42,2223.21,2201.59,2205.99
"2001-07-09",2169.47,2175.17,2164.01,2169.65
"2001-07-16",2176.34,2183.52,2142.08,2146.24
"2001-07-23",2183.74,2185.86,2166.33,2169.01
"2001-07-30",2056.76,2056.77,1955.97,1956.8
"2001-08-06",1953.41,1953.45,1867.86,1882.13
"2001-08-13",1956.93,1963.14,1942.07,1955.1
"2001-08-20",1923.1,1937.16,1917.1,1934.49
"2001-08-27",1881.31,1881.31,1824.88,1827.25
"2001-09-03",1831.7,1831.8,1813.37,1817.19
"2001-09-10",1790.21,1858.2,1774.83,1856.53
"2001-09-17",1811.9,1816.26,1782.5,1784.61
"2001-09-24",1804.89,1808.7,1791.62,1794.96
"2001-09-28",1766.13,1774.3,1751.72,1764.87
"2001-10-08",1766.13,1773.8,1723.04,1726.53
"2001-10-15",1692.17,1703.59,1670.27,1687.28
"2001-10-22",1558.47,1563.4,1514.86,1520.67
"2001-10-29",1678.73,1701.12,1678.73,1700.48
"2001-11-05",1687.84,1688.31,1671.23,1679.57
"2001-11-12",1631.8,1637.33,1619.11,1621.2
"2001-11-19",1645.09,1669.99,1644.82,1669.89
"2001-11-26",1710.13,1710.13,1696,1705.89
"2001-12-03",1751.05,1767.44,1750.92,1762.56
"2001-12-10",1743.63,1748.97,1730.81,1748.68
"2001-12-17",1673.24,1680.84,1662.68,1665.94
"2001-12-24",1639.52,1640.14,1601.24,1606.1
"2001-12-31",1641.43,1649.8,1638.32,1645.97
"2002-01-07",1605.74,1605.74,1584.66,1596.76
"2002-01-14",1519.93,1519.93,1484.46,1485.11
"2002-01-21",1407,1412.21,1362.62,1366.97
"2002-01-28",1444.5,1448.6,1357.55,1359.55
"2002-02-04",1485.68,1513.67,1476.13,1511.33
"2002-02-08",1520.72,1530.13,1506.07,1506.62
"2002-02-25",1540.49,1544.57,1521.66,1530.28
"2002-03-04",1497.83,1527.4,1494.83,1526.8
"2002-03-11",1643.59,1664.52,1632.62,1664.09
"2002-03-18",1641.43,1657.68,1610.99,1623.88
"2002-03-25",1667.85,1677.05,1663.4,1675.29
"2002-04-01",1598.03,1609.92,1589.41,1608.51
"2002-04-08",1633.83,1643.68,1631.07,1640.65
"2002-04-15",1660.57,1664.52,1638.64,1649.5
"2002-04-22",1633.64,1637.19,1619.16,1627.48
"2002-04-29",1643.55,1667.16,1640.56,1665.81
"2002-04-30",1668.31,1673.75,1657.82,1667.75
"2002-05-13",1634.9,1634.92,1618.46,1623.94
"2002-05-20",1564.97,1564.98,1529.35,1541.53
"2002-05-27",1555.04,1562.63,1545.62,1555.05
"2002-06-03",1510.25,1510.26,1480.09,1483.35
"2002-06-10",1529.34,1529.38,1511.26,1517.23
"2002-06-17",1489.14,1496.84,1481.25,1496.24
"2002-06-24",1704.7,1709.07,1647.5,1707.31
"2002-07-01",1736.29,1740.38,1712.77,1713.71
"2002-07-08",1723.58,1737.86,1721.12,1732.93
"2002-07-15",1696.81,1697.38,1685.54,1687.95
"2002-07-22",1712.02,1712.33,1678.5,1681.01
"2002-07-29",1654.93,1665.96,1647.27,1665.67
"2002-08-05",1661.4,1661.58,1652.4,1653.96
"2002-08-12",1642.48,1642.59,1633.09,1634.57
"2002-08-19",1645.93,1650.09,1641.4,1644.3
"2002-08-26",1682.14,1682.32,1668.82,1670.69
"2002-09-02",1666.34,1669.91,1663.17,1668.77
"2002-09-09",1628.45,1628.45,1617.01,1621.58
"2002-09-16",1624.13,1624.14,1598.74,1604.08
"2002-09-23",1602.28,1604.3,1597.29,1602.59
"2002-09-27",1587.24,1591.84,1577.53,1581.62
"2002-10-14",1522.87,1532.63,1509.14,1531.68
"2002-10-21",1519.21,1525.26,1512.33,1524.93
"2002-10-28",1518.09,1518.6,1500.01,1502.72
"2002-11-04",1516.22,1532.23,1515.07,1531.84
"2002-11-11",1519.6,1526.13,1501.99,1504.4
"2002-11-18",1463.72,1468.33,1447.49,1451.29
"2002-11-25",1393.34,1403.51,1383.09,1398.44
"2002-12-02",1432.03,1432.03,1394.91,1395.68
"2002-12-09",1404.51,1410.79,1395.93,1400.87
"2002-12-16",1397.72,1409.94,1392.89,1408.52
"2002-12-23",1429.95,1439.85,1429.29,1430.2
"2002-12-30",1379.74,1379.75,1358.43,1366.36
"2003-01-06",1319.69,1334.89,1311.68,1334.68
"2003-01-13",1381.87,1391.19,1378.65,1386.31
"2003-01-20",1475.71,1482.94,1458.12,1482.68
"2003-01-27",1481.61,1500.38,1480.97,1496.16
"2003-01-29",1501.29,1508.59,1498.37,1499.82
"2003-02-10",1499.17,1499.64,1477.52,1480.17
"2003-02-17",1510.64,1514.64,1490.92,1496.52
"2003-02-24",1476.07,1488.07,1474.47,1481.94
"2003-03-03",1511.59,1525.7,1511.05,1525.48
"2003-03-10",1492.21,1496.16,1467.64,1468.92
"2003-03-17",1465.14,1469.53,1453.37,1469.27
"2003-03-24",1474.59,1477.97,1470.44,1477.77
"2003-03-31",1491.39,1511.22,1490.99,1510.58
"2003-04-07",1521.9,1530.37,1512.5,1515.13
"2003-04-14",1581.38,1616.65,1581.2,1616.07
"2003-04-21",1598.5,1598.58,1557.12,1571.71
"2003-04-28",1483.47,1538.59,1473.27,1537.69
"2003-04-30",1511.15,1539.57,1510.6,1521.44
"2003-05-12",1522.98,1536.89,1511.87,1531.87
"2003-05-19",1557.29,1563.11,1546.75,1555.45
"2003-05-26",1563.21,1574.39,1561.04,1569.51
"2003-06-02",1577.99,1578.87,1564.61,1576.53
"2003-06-09",1536.27,1548.14,1527.84,1530.22
"2003-06-16",1568.19,1569.55,1555.37,1559.71
"2003-06-23",1524.58,1524.91,1509.43,1511.37
"2003-06-30",1493.69,1500.97,1483.69,1486.02
"2003-07-07",1500.85,1503.81,1490.97,1501.48
"2003-07-14",1528.39,1529.33,1519.12,1521.41
"2003-07-21",1501.39,1504.71,1483.57,1495.89
"2003-07-28",1474.74,1474.74,1464.87,1470.39
"2003-08-04",1476.82,1494.42,1471.89,1494.37
"2003-08-11",1469.26,1474.72,1462.72,1474.41
"2003-08-18",1449.67,1451.67,1442.48,1445.09
"2003-08-25",1434.21,1434.21,1419.26,1422.18
"2003-09-01",1423.35,1450.04,1420.12,1449.82
"2003-09-08",1429.46,1429.56,1421.14,1425.73
"2003-09-15",1407.81,1416.08,1394.27,1397.54
"2003-09-22",1392.9,1395.07,1378.32,1381.44
"2003-09-29",1369.44,1369.48,1353.25,1355.34
"2003-09-30",1354.65,1371.07,1348.22,1367.16
"2003-10-13",1405.33,1411.88,1397.69,1399.66
"2003-10-20",1369.71,1370.49,1355.55,1359.5
"2003-10-27",1381.84,1383.6,1361.19,1369.46
"2003-11-03",1346.48,1367.34,1339.96,1364.06
"2003-11-10",1330.96,1340.87,1322.05,1340.1
"2003-11-17",1330.49,1333.41,1323.68,1328.1
"2003-11-24",1360.33,1404.25,1360.23,1404.01
"2003-12-01",1398.71,1432.82,1398.71,1432.7
"2003-12-08",1452.11,1459.48,1435.14,1436.66
"2003-12-15",1471.24,1474.67,1465.51,1470.36
"2003-12-22",1444.17,1493.54,1441.59,1492.96
"2003-12-29",1509.28,1512.98,1495.54,1496.43
"2004-01-05",1516.8,1568.82,1516.7,1568.35
"2004-01-12",1579.88,1619.09,1573.77,1618.52
"2004-01-16",1589.38,1604.76,1579.24,1600.43
"2004-02-02",1630.65,1650.29,1585.96,1623.88
"2004-02-09",1679.58,1703.77,1679.1,1703.53
"2004-02-16",1661.45,1697.26,1661.45,1696.83
"2004-02-23",1725.59,1730.28,1680.89,1681.65
"2004-03-01",1676.22,1690.07,1661.34,1689.76
"2004-03-08",1660.64,1665.73,1635.44,1637.14
"2004-03-15",1696.94,1738.98,1696.82,1736.22
"2004-03-22",1749.71,1760.08,1742.37,1755.69
"2004-03-29",1734.59,1740.31,1717.86,1719.67
"2004-04-05",1771.74,1774.12,1753.71,1766.48
"2004-04-12",1717.2,1729.62,1702.4,1722.99
"2004-04-19",1695.33,1698.69,1672.35,1675.89
"2004-04-26",1633.27,1644.5,1623.05,1635.5
"2004-04-30",1579.97,1599.56,1572.23,1595.59
"2004-05-10",1600.63,1603.07,1555.26,1560.22
"2004-05-17",1556.67,1562.39,1537.47,1539.96
"2004-05-24",1559.55,1562.33,1547.36,1550.35
"2004-05-31",1549.03,1556.79,1544.71,1555.91
"2004-06-07",1538.46,1538.5,1508.87,1517.15
"2004-06-14",1471.45,1471.45,1431.31,1438.74
"2004-06-21",1421.83,1434.2,1414.97,1433.47
"2004-06-28",1396.36,1397.52,1380.2,1385.18
"2004-07-05",1440.17,1444.93,1429.12,1444.59
"2004-07-12",1426.25,1426.25,1393.81,1397.15
"2004-07-19",1456.77,1465.84,1447.05,1457.54
"2004-07-26",1401.84,1401.88,1381.91,1387.67
"2004-08-02",1381.88,1383.08,1370.5,1373.22
