"","hmm_str","shangzheng"
"2010-03-22",0,0.032798779955256
"2010-03-29",0.0160086906179056,0.0160086906179056
"2010-04-02",0.0109353991932901,0.0109353991932901
"2010-04-12",0,-0.00908814551165937
"2010-04-19",0,-0.0476023085330078
"2010-04-26",0,-0.00362379626212128
"2010-04-30",0,-0.0333019026772183
"2010-05-10",0,-0.0598653247915948
"2010-05-17",0,-0.0514421437993746
"2010-05-24",0,0.0443332434871266
"2010-05-31",0,-0.0303992638642637
"2010-06-07",0,-0.0310244391721158
"2010-06-11",0,0.0231752616722338
"2010-06-21",0,0.00633088710242258
"2010-06-28",0,-0.0196929097018417
"2010-07-05",0,-0.0675783345429303
"2010-07-12",0,0.0536263457348929
"2010-07-19",0,-0.00614280208132578
"2010-07-26",0.0457538518716014,0.0457538518716014
"2010-08-02",0.0323871625693404,0.0323871625693404
"2010-08-09",3.7417867781997e-06,3.7417867781997e-06
"2010-08-16",-0.00404859814482916,-0.00404859814482916
"2010-08-23",0,-0.00839310067588139
"2010-08-30",0,0.00503529251298596
"2010-09-06",0,0.0164325620320735
"2010-09-13",0,-0.00294112192860452
"2010-09-20",0,-0.0370528806094513
"2010-09-27",0,0.0151658548079932
"2010-09-30",0.0105366499617576,0.0105366499617576
"2010-10-11",0.0569651235474422,0.0569651235474422
"2010-10-18",0.0528297719224493,0.0528297719224493
"2010-10-25",0.0325490740145438,0.0325490740145438
"2010-11-01",0.00085206231852708,0.00085206231852708
"2010-11-08",0,0.0345413586027596
"2010-11-15",0,-0.0459248427762534
"2010-11-22",0,-0.0431394534917281
"2010-11-29",0,-0.00624399782274809
"2010-12-06",0,-0.00320266819241133
"2010-12-13",0,0.0230192007503902
"2010-12-20",0,-0.0239586718897004
"2010-12-27",0,-0.0250690520589432
"2010-12-31",0,0.00959229165168618
"2011-01-10",0,-0.00579399447309192
"2011-01-17",0,-0.0304999265709343
"2011-01-24",0,-0.00404188187655641
"2011-01-31",0,0.0352299200213673
"2011-02-01",0.0029634248160848,0.0029634248160848
"2011-02-14",0.0357882927944666,0.0357882927944666
"2011-02-21",0.0114241168902394,0.0114241168902394
"2011-02-28",-0.00927615312473351,-0.00927615312473351
"2011-03-07",0.0313798385569954,0.0313798385569954
"2011-03-14",0,-0.0195513665597538
"2011-03-21",0,-0.00969829420315027
"2011-03-28",0,0.0257326907608435
"2011-04-01",0,-0.00555965147453086
"2011-04-11",0.0186492597922094,0.0186492597922094
"2011-04-18",0,0.0114399139856092
"2011-04-25",0,-0.0302159073439897
"2011-04-29",0,-0.0180239127135363
"2011-05-09",0,-0.0134122843472975
"2011-05-16",0,-0.00814284620151362
"2011-05-23",0,-0.0261488836708119
"2011-05-30",0,-0.0245839895911799
"2011-06-03",0,0.00800336983993244
"2011-06-13",0,-0.0101318905286618
"2011-06-20",0,-0.0293032832416179
"2011-06-27",0,0.0522575107296137
"2011-07-04",0.0197916779963963,0.0197916779963963
"2011-07-11",-0.00360136802212729,-0.00360136802212729
"2011-07-18",0,0.00499520103900175
"2011-07-25",0,-0.0454221089292751
"2011-08-01",0,0.00558995815899599
"2011-08-08",0,-0.0654491119839632
"2011-08-15",0,0.0395556470187823
"2011-08-22",0,-0.0422229582338766
"2011-08-29",0,0.0240673169413241
"2011-09-05",0,-0.0379093389639071
"2011-09-09",0,0.00766921903870532
"2011-09-19",0,-0.0240056050445401
"2011-09-26",0,-0.0182993613067574
"2011-09-30",0,-0.0141903241711865
"2011-10-10",0,-0.00611642831105186
"2011-10-17",0,0.0407755065485609
"2011-10-24",0,-0.0287125061465334
"2011-10-31",0,0.0413107035729203
"2011-11-07",0.0168337891218475,0.0168337891218475
"2011-11-14",0,0.00753446489760123
"2011-11-21",0,-0.0449161825594868
"2011-11-28",0,-0.0132912099969773
"2011-12-05",0,-0.0208977646106009
"2011-12-12",0,-0.0178679341513696
"2011-12-19",0,-0.0319872225664838
"2011-12-26",0,-0.0126812247547604
"2011-12-30",0,0.00425092803557803
"2012-01-09",0,0.012034991043093
"2012-01-16",0,-0.00885039242729868
"2012-01-20",0.0511877943422823,0.0511877943422823
"2012-01-30",-0.0146952292248784,-0.0146952292248784
"2012-02-06",0.0201747015369533,0.0201747015369533
"2012-02-13",0.00888406530710295,0.00888406530710295
"2012-02-20",0.00499606692603694,0.00499606692603694
"2012-02-27",0.0353105432391267,0.0353105432391267
"2012-03-05",-0.000841826518352629,-0.000841826518352629
"2012-03-12",-0.00414723926380367,-0.00414723926380367
"2012-03-19",0,-0.0101361063880471
"2012-03-26",0,-0.0247201453833323
"2012-03-30",0,-0.0373564196375393
"2012-04-09",0,0.0101600236875716
"2012-04-16",0.0311709788343586,0.0311709788343586
"2012-04-23",0.0133897319932288,0.0133897319932288
"2012-04-27",0.00323621885714998,0.00323621885714998
"2012-05-07",0.0232147626360417,0.0232147626360417
"2012-05-14",0,-0.0290462692958665
"2012-05-21",0,-0.0136218722828712
"2012-05-28",0,0.00556572839926739
"2012-06-04",0,-0.0223683709033314
"2012-06-11",0,-0.0011652335881831
"2012-06-18",0,0.00441917549200732
"2012-06-25",0,-0.0396968977353684
"2012-07-02",0,0.000899236098933942
"2012-07-09",0,-0.024841539726249
"2012-07-16",0,-0.0105260248478678
"2012-07-23",0,-0.00305406059703162
"2012-07-30",0,-0.0147053329597461
"2012-08-06",0,0.0213326634785371
"2012-08-13",0,-0.00874278395485684
"2012-08-20",0,-0.013632448222913
"2012-08-27",0,-0.0243241447393401
"2012-09-03",0,0.0016733877832964
"2012-09-10",0,0.0367821673991695
"2012-09-17",0,-0.0264135388708551
"2012-09-24",0,-0.0217993745489535
"2012-09-28",0,0.0260575745503371
