"","zz.500","zz.500.1"
"2011-03-16",0.0132577714449218,0.0132577714449218
"2011-03-17",-0.0183157158071854,-0.0183157158071854
"2011-03-18",0.00446697102290106,0.00446697102290106
"2011-03-21",-0.00796187989890806,-0.00796187989890806
"2011-03-22",-5.89843183295136e-05,-5.89843183295136e-05
"2011-03-23",0.0136713719351493,0.0136713719351493
"2011-03-24",0.00270011325223485,0.00270011325223485
"2011-03-25",0.00833581591756394,0.00833581591756394
"2011-03-28",-0.00245570614057478,-0.00245570614057478
"2011-03-29",-0.0170014713385525,-0.0170014713385525
"2011-03-30",-0.00911927839460902,-0.00911927839460902
"2011-03-31",-0.0126645267284459,-0.0126645267284459
"2011-04-01",0.0129349655981614,0.0129349655981614
"2011-04-06",-0.00142939508039475,-0.00142939508039475
"2011-04-07",0.00630901711957366,0.00630901711957366
