"","zz","hs","calcs","calcs.1"
"2006-03-27",984.15,1050.71,1.10055499163006,-0.000432034367327182
"2006-03-28",994.52,1055.98,1.10589749863767,-0.000317235736017158
"2006-03-29",997.7,1065.29,1.08762426718913,-0.000413535917994838
"2006-03-30",986.96,1055.63,1.03534330791478,-0.000199967562930635
"2006-03-31",1000.25,1061.09,1.04616721600326,0.000363395797393937
"2006-04-03",1025.79,1079.32,1.0923766905882,0.000790617552969609
"2006-04-04",1038.11,1089.37,1.1102395990957,0.000861342702243588
"2006-04-05",1048.67,1099.97,1.10495867567614,0.00082004413033943
"2006-04-06",1053.69,1103.24,1.10902132014255,0.00102835359778184
"2006-04-07",1068.11,1103.15,1.10066820072183,0.00149477868676031
"2006-04-10",1090.72,1117.91,1.11912834293769,0.00174362354680185
"2006-04-11",1094.41,1123.31,1.12182410595539,0.00180727168146297
"2006-04-12",1095.5,1117.07,1.10296925529524,0.00195850428993853
"2006-04-13",1062.69,1093.93,1.16717270161659,0.00162477154093253
"2006-04-14",1088.18,1118.61,1.13997751996929,0.00168717488567377
"2006-04-17",1093.51,1124.41,1.13606088428347,0.00163513201541961
"2006-04-18",1097.73,1131.28,1.12512701717259,0.0015331839278576
"2006-04-19",1100.66,1138.24,1.1227671335371,0.00132497107641194
"2006-04-20",1091.85,1134.38,1.13877514031684,0.00110601450131661
"2006-04-21",1102.55,1149.16,1.11433393582722,0.00116144972351194
"2006-04-24",1094.38,1142.7,1.14302237696145,0.00116938176302403
"2006-04-25",1103.06,1141.93,1.13745034302346,0.00130668926206984
"2006-04-26",1116.81,1155.73,1.13227154415031,0.00128986531795179
"2006-04-27",1125.32,1155.27,1.12647960897284,0.0014325268769634
"2006-04-28",1141.69,1172.35,1.11260899025645,0.00135704650088592
"2006-05-08",1180.73,1218.44,1.00969228841874,0.00165264384588003
"2006-05-09",1218.09,1251.61,1.0228820282412,0.00167735197580311
"2006-05-10",1241.57,1265.93,1.03037206243906,0.00168430327549991
"2006-05-11",1237.77,1255.04,1.02370570303467,0.00164845665924796
"2006-05-12",1283.68,1296.26,1.02660510681564,0.00177270832253133
"2006-05-15",1344.92,1352.16,1.03658332191392,0.00173017105954663
"2006-05-16",1297.93,1331.13,1.11398708762067,0.000317162651015319
"2006-05-17",1318.97,1335.52,1.10684615645289,0.00101060786741506
"2006-05-18",1328.21,1331.2,1.08496527796799,0.00155978982215114
"2006-05-19",1365.65,1366.1,1.08332306961294,0.00130352100788107
"2006-05-22",1386.75,1373.67,1.07214795343576,0.00147909364073533
"2006-05-23",1326.16,1317.65,1.07978797972861,0.00136285951283277
"2006-05-24",1308.69,1308.24,1.09051435985563,0.00112817239915929
"2006-05-25",1324.92,1307.7,1.08247359456603,0.00155195618854849
"2006-05-26",1355.5,1331.02,1.09406327943822,0.00114422919922829
"2006-05-29",1387.52,1366.29,1.07673597205266,0.000866586784018229
"2006-05-30",1410.54,1378.76,1.07744157019831,0.00114769113827024
"2006-05-31",1402.33,1365.45,1.07909666391303,0.00105630092101825
"2006-06-01",1455.74,1402.88,1.06685026364677,0.00169686934719502
"2006-06-02",1457.76,1390.12,1.05288786699786,0.00217296417922135
"2006-06-05",1484.29,1403.16,1.05339814626594,0.00246522885033675
"2006-06-06",1470.45,1399.14,1.06233866650988,0.00227598402530024
"2006-06-07",1370.81,1320.23,1.10998765177317,0.00189660539509526
"2006-06-08",1376.08,1325.98,1.10610036220276,0.00202607639133191
"2006-06-09",1346.48,1294.19,1.10426980067152,0.00235442675693484
"2006-06-12",1352.58,1297.67,1.10176887490471,0.00245774472755035
"2006-06-13",1361.53,1298.28,1.10304049172551,0.00236617420994726
"2006-06-14",1347.88,1283.88,1.10513834817743,0.00246077444558678
"2006-06-15",1352.34,1285.39,1.10690775548642,0.00225236656874819
"2006-06-16",1382.41,1318.01,1.09789128763738,0.00215522279564778
"2006-06-19",1398,1334.89,1.12489913841955,0.00227313189329309
"2006-06-20",1414.91,1338.22,1.12741510350346,0.00254271133804214
"2006-06-21",1410.5,1333.53,1.12523881116115,0.0023621887731421
"2006-06-22",1411.28,1331.55,1.12899604615033,0.00220747966713024
"2006-06-23",1430.51,1339.45,1.13700000543455,0.00242776461849721
"2006-06-26",1457.14,1363.41,1.14586085353148,0.00241058859436966
"2006-06-27",1464.69,1363.9,1.11224118534836,0.00317289858582147
"2006-06-28",1461.79,1362.89,1.11056100882626,0.0027176883870868
"2006-06-29",1488.16,1395.12,1.09073909628343,0.00212471704312302
"2006-06-30",1486,1393.96,1.09797130362669,0.00211411996894577
"2006-07-03",1514.07,1420.33,1.08762835991216,0.00175244376458653
"2006-07-04",1508.84,1411.01,1.0796311734971,0.00187246017157181
"2006-07-05",1497.66,1393.01,1.06302010551129,0.00230376100597974
"2006-07-06",1539.18,1418.68,1.07786852968043,0.00210440113253065
"2006-07-07",1541.25,1410.43,1.06926835398648,0.00224735423725412
"2006-07-10",1550.04,1412.12,1.09224313550265,0.00252356066918764
"2006-07-11",1561.84,1418.58,1.08794461428571,0.00239466330319871
"2006-07-12",1562.06,1419.2,1.09168528021479,0.00222214832773627
"2006-07-13",1459.78,1346.09,1.13493240890773,0.00169474744918758
